,Predict,Low,Up
2040-03-01,458.35969315174276,444.82324207632263,471.8961442271629
2040-04-01,459.90356626597,446.30893493937685,473.4981975925632
2040-05-01,460.5017801248549,446.84928050038144,474.1542797493284
2040-06-01,459.72852159612694,446.01842848536495,473.4386147068889
2040-07-01,458.0525546814254,444.285123981248,471.81998538160286
2040-08-01,455.96957539117426,442.1450521803315,469.794098602017
2040-09-01,454.53125860647134,440.6498812402714,468.4126359726713
2040-10-01,454.7992893446509,440.86129145789585,468.73728723140596
2040-11-01,456.3201375996518,442.3257491135499,470.3145260857537
2040-12-01,457.7406574212381,443.68273331484176,471.79858152763444
2041-01-01,458.933853541943,444.8153393381646,473.05236774572137
2041-02-01,459.67421272260106,445.4956698437335,473.85275560146863
2041-03-01,460.5719628460998,446.3339437234699,474.8099819687297
2041-04-01,462.1152618808396,447.8181355990692,476.41238816261006
2041-05-01,462.71325329767126,448.3573261256806,477.06918046966194
2041-06-01,461.9402823002538,447.52582413799746,476.3547404625101
2041-07-01,460.2649385832869,445.7922008537788,474.737676312795
2041-08-01,458.182733835757,443.65195743168687,472.71351023982714
2041-09-01,456.7449518800856,442.156371181566,471.3335325786052
2041-10-01,457.0128829527244,442.36672779106107,471.6590381143877
2041-11-01,458.53316568988663,443.82966233324396,473.2366690465293
2041-12-01,459.95315730012993,445.1852851631252,474.7210294371347
2042-01-01,461.1459097383773,446.3165604765658,475.9752590001888
2042-02-01,461.88599362114013,446.99571832126605,476.7762689210142
2042-03-01,462.7834099219134,447.832751099474,477.7340687443528
2042-04-01,464.32613509063367,449.31545525866596,479.3368149226014
2042-05-01,464.92390414812576,449.85350420934503,479.9943040869065
2042-06-01,464.1512205751021,449.02136579025546,479.2810753599488
2042-07-01,462.47649982413765,447.287437387097,477.6655622611783
2042-08-01,460.39506933132026,445.14703617390495,475.64310248873556
2042-09-01,458.9578220058076,443.6510487428947,474.2645952687205
2042-10-01,459.22565344996565,443.8603663063969,474.5909405935344
2042-11-01,460.7453708795735,445.32179265593004,476.16894910321696
2042-12-01,462.16483447488594,446.67606273662807,477.6536062131438
2043-01-01,463.3571433956564,447.806018791114,478.9082680001988
2043-02-01,464.0969520828917,448.4840159277895,479.7098882379938
2043-03-01,464.9940346850694,449.31982010925043,480.66824926088833
2043-04-01,466.53618620115856,450.80104949962504,482.2713229026921
2043-05-01,467.133732981994,451.33796997837277,482.92949598561523
2043-06-01,466.3613367264872,450.5052082881583,482.2174651648161
2043-07-01,464.68723870987924,448.7709880225244,480.60348939723406
2043-08-01,462.6065821838726,446.63044242193337,478.58272194581184
2043-09-01,461.1698692897198,445.134067492761,477.20567108667865
2043-10-01,461.4376011424434,445.34236010727,477.53284217761677
2043-11-01,462.9567534747029,446.8022927024557,479.1112142469501
2043-12-01,464.3756892514234,448.15521870708386,480.59615979576296
2044-01-01,465.5675548196361,449.2838667501849,481.85124288908725
2044-02-01,466.30708841367357,449.9607148759709,482.65346195137624
2044-03-01,467.20383744133943,450.79530266131565,483.6123722213632
2044-04-01,468.7454155181066,452.27506989345704,485.21576114275615
2044-05-01,469.34274010493755,452.81087464057526,485.87460556929983
2044-06-01,468.57063106011043,451.9775024530074,485.16375966721347
2044-07-01,466.89715554629913,450.24300317444954,483.5513079181487
2044-08-01,464.81727269930855,448.10232616459353,481.53221923402356
2044-09-01,463.3810940377907,446.6055769771316,480.15661109844984
2044-10-01,463.6487263361122,446.81285828067354,480.48459439155084
2044-11-01,465.1673137811513,448.27131108584535,482.0633164764572
2044-12-01,466.58572193554596,449.6229016834986,483.54854218759334
